datum,oib,primatelj,mjesto,iznos,valuta,opis,pozivNaBroj,iban,sifraPK,nazivPK,tipOsobe,isplateUuid,brojUgovora,konto_sifra,konto_naziv,konto_iznos
2024-09-10 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,375.00,EUR,,HR99,,,,P,b210798a-3726-47e2-9f7e-101d75d3d4cc,,3238,Računalne usluge,375
2024-08-20 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,eaafc95a-f84e-4a22-be2e-00c69077e812,,3238,Računalne usluge,6115.2
2024-08-20 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,baea1c8f-939b-49ce-b5a2-be559b49ee51,,3238,Računalne usluge,815.5
2024-07-12 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,2475.00,EUR,,HR99,,,,P,7d3bea7f-6453-46f2-904f-d1b54aec1947,,3213,Stručno usavršavanje zaposlenika,2475
2024-07-04 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,cc54f3a0-5bba-4d7b-883c-e514b2d1a424,,3238,Računalne usluge,815.5
2024-07-04 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,86b8e953-63e2-440b-b976-75a8329d8e98,,3238,Računalne usluge,6115.2
2024-05-29 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,abe8a612-5f08-44fa-9942-1bc3167b1655,,3238,Računalne usluge,6115.2
2024-05-29 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,7157f06c-de34-4e01-b38a-9214b983e6ec,,3238,Računalne usluge,815.5
2024-05-21 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,212.50,EUR,,HR99,,,,P,7f044f63-98dc-4946-b0dd-1dd2bafbc724,,3213,Stručno usavršavanje zaposlenika,212.5
2024-05-03 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,a81d6221-5007-48c2-8c43-dde952beea2f,,3238,Računalne usluge,6115.2
2024-05-03 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,4beb40e9-367d-4415-aa53-b71209b4afd0,,3238,Računalne usluge,815.5
2024-04-05 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,fc52d257-d5cf-460e-9a57-d6bcaede5ed7,,3238,Računalne usluge,815.5
2024-04-05 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,77ccc8f0-9552-4b90-86a9-430f05a33687,,3238,Računalne usluge,6115.2
2024-02-01 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6115.20,EUR,,HR99,,,,P,a018993c-1f70-4799-93d8-06adf0960bd6,,3238,Računalne usluge,6115.2
2024-02-01 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,815.50,EUR,,HR99,,,,P,6e48297d-c3ba-48a0-896f-6e98fab40f78,,3238,Računalne usluge,815.5
2024-01-09 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,19410.00,EUR,,HR99,,,,P,707d9274-bf4e-4133-87f5-77a9fb12b788,,3238,Računalne usluge,19410
